"filename", "language", "Ignore", "JSON", "pip requirements", "Markdown", "Docker", "Python", "XML", "YAML", "Shell Script", "MS SQL", "HTML", "TypeScript", "PostCSS", "TypeScript JSX", "JSON with Comments", "Ini", "toml", "comment", "blank", "total"
"/Users/yanwen/Documents/github/sunnyagent/.claude/agents/test-agent.md", "Markdown", 0, 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 462
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.analyze.md", "Markdown", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 185
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.checklist.md", "Markdown", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 295
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.clarify.md", "Markdown", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 182
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.constitution.md", "Markdown", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 83
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.implement.md", "Markdown", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 136
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.plan.md", "Markdown", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 90
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.specify.md", "Markdown", 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 259
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.tasks.md", "Markdown", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 138
"/Users/yanwen/Documents/github/sunnyagent/.claude/commands/speckit.taskstoissues.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"/Users/yanwen/Documents/github/sunnyagent/.github/copilot-instructions.md", "Markdown", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 78
"/Users/yanwen/Documents/github/sunnyagent/CLAUDE.md", "Markdown", 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 342
"/Users/yanwen/Documents/github/sunnyagent/README.md", "Markdown", 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 226
"/Users/yanwen/Documents/github/sunnyagent/backend/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/yanwen/Documents/github/sunnyagent/backend/agents/__init__.py", "Python", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 24
"/Users/yanwen/Documents/github/sunnyagent/backend/agents/general.py", "Python", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 14, 124
