"filename", "language", "Python", "TypeScript JSX", "PostCSS", "TypeScript", "comment", "blank", "total"
"/Users/yanwen/Documents/github/sunnyagent/backend/conversations/database.py", "Python", 11, 0, 0, 0, 2, 0, 13
"/Users/yanwen/Documents/github/sunnyagent/backend/conversations/models.py", "Python", 1, 0, 0, 0, 0, 0, 1
"/Users/yanwen/Documents/github/sunnyagent/backend/conversations/router.py", "Python", 8, 0, 0, 0, 1, 1, 10
"/Users/yanwen/Documents/github/sunnyagent/backend/main.py", "Python", 6, 0, 0, 0, 1, 0, 7
"/Users/yanwen/Documents/github/sunnyagent/backend/projects/database.py", "Python", 34, 0, 0, 0, 11, 5, 50
"/Users/yanwen/Documents/github/sunnyagent/backend/projects/models.py", "Python", 4, 0, 0, 0, 1, 3, 8
"/Users/yanwen/Documents/github/sunnyagent/backend/projects/router.py", "Python", 30, 0, 0, 0, 5, 5, 40
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/App.tsx", "TypeScript JSX", 0, 46, 0, 0, 9, 7, 62
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/api/conversations.ts", "TypeScript", 0, 0, 0, 13, 1, 3, 17
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/api/projects.ts", "TypeScript", 0, 0, 0, 26, 3, 1, 30
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/ChatContainer.tsx", "TypeScript JSX", 0, 17, 0, 0, 3, 1, 21
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/Projects/ProjectHome.tsx", "TypeScript JSX", 0, 203, 0, 0, 9, 17, 229
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/Projects/ProjectItem.tsx", "TypeScript JSX", 0, 5, 0, 0, 4, 1, 10
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/Projects/ProjectList.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 4
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/Projects/ProjectWorkspace.tsx", "TypeScript JSX", 0, 9, 0, 0, 1, 0, 10
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/Projects/Projects.css", "PostCSS", 0, 0, 415, 0, 18, 81, 514
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/Projects/SourcesPanel.tsx", "TypeScript JSX", 0, 102, 0, 0, 4, 9, 115
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/components/Projects/index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 1
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/hooks/useChat.ts", "TypeScript", 0, 0, 0, 9, 2, 1, 12
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/hooks/useConversations.ts", "TypeScript", 0, 0, 0, 8, 3, 1, 12
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/hooks/useProjects.ts", "TypeScript", 0, 0, 0, 48, 4, 5, 57
"/Users/yanwen/Documents/github/sunnyagent/frontend/src/hooks/useSkills.ts", "TypeScript", 0, 0, 0, 22, 3, 6, 31
"Total", "-", 94, 386, 415, 127, 85, 147, 1254
